EmployeeID,SSN_Synthetic,FirstName,LastName,FullName,Street,City,State,ZipCode,DateOfBirth,DateOfEntryService,Email,Rank,DutyStatus,BasePay,Bonus,IsAnomaly,AnomalyType
EMP10026,227-52-3987,David,Ramirez,David Ramirez,083 John Lodge Suite 837,Westtown,CO,39067,1983-11-17,1993-11-14,elizabeth57@example.net,SSG,TDY,3159.95,0.0,0,Normal
EMP10027,742-76-8596,Zachary,Pierce,Zachary Pierce,744 Hall Stravenue Apt. 518,East Javier,NJ,36742,2005-07-28,2012-08-19,tina34@example.org,SPC,TDY,2112.81,264.77,0,Normal
EMP10028,117-09-6566,Adrian,Ferguson,Adrian Ferguson,08427 Monique Ports Suite 777,Jackton,KS,63117,1993-12-31,1998-07-30,ojones@example.net,PV1,Active,1941.57,352.3,0,Normal
EMP10029,440-40-9317,Robert,Avery,Robert Avery,18699 Kimberly Light,Kerrport,VI,77640,1973-02-02,1975-06-10,lynchjody@example.org,PV2,Active,1947.6,0.0,0,Normal
EMP10030,240-34-9664,Brad,Allen,Brad Allen,06797 Johnson Heights,Jacquelinemouth,CA,90597,1983-10-21,1991-11-06,ronaldstephens@example.net,SFC,Active,3692.31,0.0,0,Normal
EMP10031,449-11-9799,Samantha,Jones,Samantha Jones,9947 Taylor Hollow,Benderhaven,ND,65223,1979-08-01,1982-08-21,prestonjessica@example.net,SSG,Active,3069.43,0.0,0,Normal
EMP10032,651-63-1495,Darryl,Craig,Darryl Craig,490 Thomas Run,Moonburgh,OR,57633,1986-06-24,1996-01-11,vbailey@example.com,PV1,Active,1945.64,0.0,0,Normal
EMP10033,193-67-5928,Erin,Steele,Erin Steele,680 Miller Glen Suite 168,Lake Mollymouth,MT,07605,1976-07-23,1981-05-06,wgarrett@example.org,SPC,Active,2189.72,0.0,0,Normal
EMP10034,723-35-6808,Carlos,Roberts,Carlos Roberts,09324 Andrea Course Apt. 171,South Sarah,LA,67199,1983-04-18,1990-06-24,pbaird@example.com,PV2,Active,2061.6,0.0,0,Normal
EMP10035,354-43-9043,Connor,Greene,Connor Greene,46584 Justin Hills,Grimesmouth,ND,63984,2006-12-15,2009-07-09,ugibson@example.org,PV1,Active,1985.27,0.0,0,Normal
EMP10036,468-02-2362,Cynthia,Rowe,Cynthia Rowe,7662 Hanna Crossroad,Mollymouth,CT,69438,1985-09-10,1992-03-31,jpitts@example.org,CW4,Active,5405.26,0.0,0,Normal
EMP10037,093-56-1613,Deborah,Hanson,Deborah Hanson,158 Finley Road Suite 809,East Crystalport,IN,98381,2001-05-23,2007-08-22,wallaceheather@example.org,SPC,Active,2285.3,0.0,0,Normal
EMP10038,262-86-0154,Anthony,Howard,Anthony Howard,38692 Gregory Ridge Suite 937,East Steven,KS,60737,1972-07-28,1979-04-25,rsantana@example.net,LTC,Active,6589.34,0.0,0,Normal
EMP10039,406-36-0133,Tony,Huerta,Tony Huerta,647 Gonzalez Lights Suite 136,Baileyport,AK,86776,1980-03-11,1982-11-05,lozanojulie@example.com,PV2,Leave,1962.72,176.58,0,Normal
EMP10040,806-70-5995,Heather,Fields,Heather Fields,210 Kramer Bypass Suite 214,Julieburgh,ID,17823,1985-02-06,1992-09-26,maria47@example.com,SGT,Active,2884.31,176.59,0,Normal
EMP10041,767-87-4296,Julie,Jones,Julie Jones,685 Krystal Bridge,Amandamouth,MN,88689,1992-06-28,1995-04-04,xcarson@example.org,SGT,TDY,2661.51,0.0,0,Normal
EMP10042,139-50-7433,Manuel,Hahn,Manuel Hahn,317 Banks Crescent Apt. 004,Wilsonbury,FM,70958,1985-05-09,1990-02-10,ellen86@example.net,CPL,TDY,2283.84,0.0,0,Normal
EMP10043,869-59-1502,Mary,Bass,Mary Bass,0537 Sampson Walk Suite 158,Bruceview,ID,16512,1979-12-16,1985-07-02,darleneharper@example.org,SPC,Leave,2243.24,0.0,0,Normal
EMP10044,257-23-1802,Dana,Martinez,Dana Martinez,83933 Schroeder Turnpike,West Micheleberg,DC,71308,1972-11-19,1976-05-08,andersonmichael@example.org,SFC,Active,3764.51,0.0,0,Normal
EMP10045,659-04-0997,Derek,Martinez,Derek Martinez,117 Strickland Passage Apt. 783,Lake Kristahaven,ME,60537,1991-06-23,1998-08-12,bboone@example.net,PV2,Active,1942.63,0.0,0,Normal
EMP10046,118-84-9034,Theodore,Jones Jr.,Theodore Jones Jr.,24998 James Ranch,Shawnchester,CT,92484,1976-10-15,1979-07-23,russellbeasley@example.com,SGT,Active,2563.1,0.0,0,Normal
EMP10047,576-72-5401,Jennifer,Blair,Jennifer Blair,5452 Jones Village Apt. 161,Lisaside,AR,77370,1992-07-04,2001-05-13,jenkinsmorgan@example.com,PV1,Active,1963.42,0.0,0,Normal
EMP10048,629-87-9122,Lindsay,Bell,Lindsay Bell,73158 Wilson Harbors,Port Roy,OH,81991,1972-12-10,1976-06-12,lynchdiane@example.net,PV2,Active,2048.48,0.0,0,Normal
EMP10049,320-93-5315,Donald,Farmer,Donald Farmer,0229 Jones Streets Apt. 183,Barnesmouth,GA,49004,1987-08-23,1996-06-03,wareeric@example.net,SGT,TDY,2775.0,0.0,0,Normal
EMP10050,405-77-0898,Denise,Stanley,Denise Stanley,764 Kari Crescent Suite 614,Roseport,AZ,29404,1972-10-29,1980-04-21,harrissierra@example.org,PV1,Active,1926.86,0.0,0,Normal
EMP10051,727-82-6844,Bryan,Jimenez,Bryan Jimenez,26838 Jones Wall Apt. 607,Port Lawrencechester,OK,53509,1986-10-30,1988-11-12,darius05@example.org,WO1,Leave,3554.85,0.0,0,Normal
EMP10052,649-15-8694,Tamara,Davis,Tamara Davis,69681 Harrell Summit,Jeffreyburgh,CA,67411,2000-10-01,2008-12-07,rebeccabailey@example.net,2LT,Active,3644.75,0.0,0,Normal
EMP10053,640-42-5180,Charles,Gonzalez,Charles Gonzalez,127 Webster Trace,Maldonadoshire,SD,83770,1979-06-29,1987-08-10,scottharrison@example.net,PFC,Active,2110.51,0.0,0,Normal
EMP10054,568-95-0673,Leslie,Bell,Leslie Bell,7700 Decker Club,New Brookefurt,NH,76565,1990-01-18,1995-07-03,kstout@example.net,PV2,Active,1942.02,0.0,0,Normal
EMP10055,163-47-6109,John,Hernandez,John Hernandez,1518 Benjamin Station,Ritterhaven,NC,80429,1982-04-02,1988-03-19,paul59@example.org,CW2,Active,4099.79,0.0,0,Normal
EMP10056,687-90-8625,Brandon,Gregory,Brandon Gregory,9251 Sabrina Inlet Suite 291,Angelicamouth,GU,17251,1992-03-19,1996-01-13,lucasrodney@example.com,SSG,Leave,2971.74,0.0,0,Normal
EMP10057,790-80-2713,Christopher,Lewis,Christopher Lewis,32214 William Plains Apt. 592,Mooreburgh,MP,91313,1970-09-07,1980-03-11,xwilliams@example.net,CPL,Active,2357.47,0.0,0,Normal
EMP10058,142-33-0855,Lisa,Goodwin,Lisa Goodwin,83473 Gregory Ports Suite 746,Burchborough,AS,79755,1985-08-09,1992-11-17,jsawyer@example.org,SPC,Active,2169.93,0.0,0,Normal
EMP10059,029-41-1624,Dominique,Hines,Dominique Hines,8261 Lisa Keys Apt. 606,Joeland,MN,29931,2004-07-19,2009-01-17,lacey20@example.com,PV2,Active,1965.65,0.0,0,Normal
EMP10060,813-80-7490,Brenda,Thornton,Brenda Thornton,010 Lewis Drive Suite 143,Davidbury,MT,84249,2001-08-04,2007-07-12,rodriguezrebecca@example.net,WO1,Active,3692.46,0.0,0,Normal
EMP10061,520-65-9080,Jose,Allen,Jose Allen,6095 Ashley Ferry,New Theresaland,NC,71814,2005-12-02,2009-03-18,myerstheodore@example.net,PFC,Active,2192.51,0.0,0,Normal
EMP10062,301-26-0718,Mrs.,Alexis Kramer,Mrs. Alexis Kramer,19520 Payne Via Apt. 772,North Jennifer,NH,05348,1995-10-08,2004-06-15,ninastewart@example.com,CSM,TDY,5071.86,0.0,0,Normal
EMP10063,762-57-6335,Robert,Kennedy,Robert Kennedy,345 Michelle Isle,Davidstad,NE,52932,2004-07-06,2007-10-22,terri77@example.com,SSG,TDY,2917.75,0.0,0,Normal
EMP10064,044-94-5777,Bradley,Coleman,Bradley Coleman,284 Garcia Islands Suite 479,Jacksonmouth,MI,59107,2004-10-11,2012-10-24,yhill@example.org,SGT,Active,2527.99,0.0,0,Normal
EMP10065,158-87-7372,Jennifer,Palmer,Jennifer Palmer,29702 Joel Rue,Michaelshire,AZ,79811,1974-07-20,1983-07-15,nathan19@example.org,SGM,Active,4831.85,0.0,0,Normal
EMP10066,205-16-2224,Ernest,Ramirez,Ernest Ramirez,27868 Jose Green,Lewisport,UT,64883,2005-06-21,2014-12-12,hayesrachel@example.com,SGM,Active,4818.33,0.0,0,Normal
EMP10067,243-64-0431,Tracy,Downs,Tracy Downs,188 Vance Vista Apt. 258,North Tracie,WY,18703,1975-06-02,1982-02-17,angela57@example.net,SGT,Active,2727.64,0.0,0,Normal
EMP10068,187-99-2115,Angelica,Parker,Angelica Parker,669 David Island Apt. 778,Davidside,SC,77543,1978-04-10,1983-09-05,dshaw@example.org,SPC,Active,2257.15,0.0,0,Normal
EMP10069,096-65-2763,Christopher,Morris,Christopher Morris,8414 Cynthia Plaza,Davidport,RI,70425,2004-09-12,2011-11-29,georgeweber@example.net,CW3,Active,4406.85,0.0,0,Normal
EMP10070,310-62-4013,Kristy,Bryan,Kristy Bryan,09439 Montgomery Burgs,Smallside,LA,84637,1992-06-01,2001-10-20,eevans@example.net,PFC,Active,2132.77,0.0,0,Normal
EMP10071,254-19-1587,Jason,Marshall,Jason Marshall,255 Hester Curve Suite 881,Johnville,KY,59430,1973-07-09,1978-02-25,robertspatrick@example.net,SPC,Leave,2129.47,357.92,0,Normal
EMP10072,362-07-0829,Sean,Moore,Sean Moore,532 Ferrell Mountain Suite 470,South Williambury,IL,76961,1997-11-23,2006-09-30,troy74@example.net,SPC,Leave,2277.23,0.0,0,Normal
EMP10073,404-48-5556,Jessica,Khan,Jessica Khan,5060 Michael Heights Apt. 687,Marciaville,DC,13173,1969-12-31,1977-07-16,kari39@example.net,SFC,Active,3628.03,276.74,0,Normal
EMP10074,546-63-9223,Amber,Taylor,Amber Taylor,8729 Mark Ridge Suite 269,Brittneyhaven,MP,67310,1996-10-03,2003-07-10,thomas05@example.com,PFC,Active,2103.59,153.05,0,Normal
EMP10075,249-05-9381,Lauren,Robles,Lauren Robles,749 Jennifer Prairie,Jacksonfurt,FL,89725,1976-11-25,1980-04-05,leescott@example.com,CPL,TDY,2333.52,0.0,0,Normal
EMP10076,363-87-4332,Damon,Shaw,Damon Shaw,028 Ann Shore Suite 865,South Rhonda,MA,72102,1979-09-30,1985-04-20,plee@example.com,CW5,Active,5881.4,0.0,0,Normal
EMP10077,792-19-4759,Todd,Hendrix,Todd Hendrix,375 Bailey Underpass Suite 419,Huangfurt,GU,45738,2007-06-03,2014-09-28,robertsjennifer@example.com,MSG,TDY,3898.9,0.0,0,Normal
EMP10078,790-18-0085,Nicole,Lewis,Nicole Lewis,421 John Skyway Apt. 301,Riverafort,CT,89786,1999-07-19,2006-12-23,richarddonovan@example.com,CPL,Active,2215.5,0.0,0,Normal
EMP10079,894-38-0614,Nicole,Mitchell,Nicole Mitchell,019 Amanda Stream Apt. 262,Port Randyfort,HI,98674,2001-12-07,2007-09-12,evanscarrie@example.com,CW3,Leave,4340.29,0.0,0,Normal
EMP10080,346-38-9303,Martin,Warren,Martin Warren,743 Mark Street,Wongburgh,AL,97050,1988-10-21,1998-08-02,gregorychase@example.com,SPC,Leave,2182.97,0.0,0,Normal
EMP10081,587-02-4286,Angie,Caldwell,Angie Caldwell,75304 Young Terrace,Stephanieport,OR,95250,1998-07-19,2005-03-17,heather01@example.com,PV2,Active,1977.9,0.0,0,Normal
EMP10082,776-69-3579,Michael,Leblanc,Michael Leblanc,145 Jeffrey Dale Suite 279,Robertside,PW,62213,1990-04-27,1998-10-10,erinlarson@example.org,CW4,Leave,5459.92,0.0,0,Normal
EMP10083,501-12-8362,Michael,Miller,Michael Miller,88398 Franklin Walk,Wilsonborough,VT,76935,2005-03-15,2011-11-25,dstokes@example.org,2LT,Active,3959.12,0.0,0,Normal
EMP10084,294-53-2949,Justin,Hansen,Justin Hansen,064 Julie Prairie Apt. 065,New Virginialand,NJ,04660,2004-05-14,2011-04-03,katiegood@example.net,PV1,Leave,1867.23,0.0,0,Normal
EMP10085,737-70-6949,Steven,West,Steven West,1825 Gregory Plain Suite 823,Port Andrewport,NH,88777,1998-01-18,2001-11-24,pmorrow@example.com,CPL,TDY,2306.82,0.0,0,Normal
EMP10086,046-52-7192,Colin,Golden,Colin Golden,69033 Craig Bypass,Harperton,IA,97565,1992-12-30,2001-04-28,amberwebster@example.org,PV1,Active,1885.72,0.0,0,Normal
EMP10087,438-72-8121,Donna,Cabrera,Donna Cabrera,953 Walter Shore Apt. 644,New Stacyburgh,SC,89466,1978-12-24,1981-07-16,comptonshelly@example.net,SSG,Leave,2984.66,0.0,0,Normal
EMP10088,423-54-9131,Emma,Butler,Emma Butler,6287 Melissa Hills,Port Steven,AR,74214,1995-05-19,2000-06-30,paulscott@example.com,MSG,Active,3988.12,0.0,0,Normal
EMP10089,311-02-3471,Sarah,Davis,Sarah Davis,46990 Jacob Trace,South Jason,PW,44143,1974-10-28,1980-09-29,suzannewilson@example.com,SGM,Active,4868.74,0.0,0,Normal
EMP10090,478-13-7693,Michele,Sanders,Michele Sanders,546 Ferguson Knolls,Josehaven,FM,65680,1985-12-13,1990-09-20,robin55@example.com,PV1,Active,1830.48,0.0,0,Normal
EMP10091,741-83-8038,Connie,Thomas,Connie Thomas,996 Hernandez Isle Apt. 693,Piercemouth,KS,64545,1972-07-21,1980-11-16,yjackson@example.com,SFC,TDY,3428.12,0.0,0,Normal
EMP10092,518-59-6115,Joshua,White,Joshua White,010 Robert Ville,North Jasmine,AL,29169,1980-12-17,1989-10-08,williamsonelizabeth@example.net,PFC,Active,2021.62,254.26,0,Normal
EMP10093,835-46-4380,Alexis,Patel,Alexis Patel,08484 Wayne Square Suite 211,East James,NC,33585,2002-04-29,2010-10-12,zmiller@example.com,WO1,Active,3379.33,0.0,0,Normal
EMP10094,804-43-9271,Courtney,Sutton DVM,Courtney Sutton DVM,66687 Dana Squares,North Vincent,NE,85030,1985-12-28,1989-02-17,jacobsonsamantha@example.org,CW2,TDY,4040.16,0.0,0,Normal
EMP10095,247-73-6376,Melissa,Knight,Melissa Knight,14890 Sarah Island Apt. 392,Hickmanport,GA,74420,1983-10-30,1986-04-15,patrick21@example.net,CW2,Active,3948.23,0.0,0,Normal
EMP10096,088-99-4840,Jeffrey,Roberson,Jeffrey Roberson,996 Johnson Groves Suite 735,Reynoldsshire,TN,50317,1992-12-23,1995-02-12,jennifermiller@example.org,CW4,Leave,5103.47,0.0,0,Normal
EMP10097,106-04-1469,Madison,Singh,Madison Singh,1104 Ward Groves Apt. 212,Coleside,NY,53984,1995-04-20,2005-03-25,angela99@example.com,SSG,Active,3193.52,0.0,0,Normal
EMP10098,283-54-4912,Jason,Maxwell,Jason Maxwell,826 Dominic Hollow,Trevorland,GA,57474,1995-08-29,2004-07-24,xpatton@example.com,CW4,Active,5104.9,0.0,0,Normal
EMP10099,491-41-2911,Kathleen,Jensen,Kathleen Jensen,24065 Brock Isle Suite 569,West Malik,UT,26827,1986-03-23,1991-11-02,snovak@example.net,PV2,Leave,2076.33,0.0,0,Normal
EMP10100,690-64-2281,Rachael,Nguyen,Rachael Nguyen,5193 Erin Plaza Apt. 737,Marieland,GU,54128,2002-11-09,2011-03-31,john26@example.com,SGM,Leave,4696.58,0.0,0,Normal
EMP10101,109-02-1616,Kyle,Aguilar,Kyle Aguilar,058 Daniel Gateway Suite 290,Rasmussenmouth,WY,56921,1974-06-23,1978-11-07,jeffrey88@example.net,MSG,Active,3911.86,0.0,0,Normal
EMP10102,352-59-3390,James,Barton,James Barton,0714 Knapp Corner,Port Sheliaberg,MI,41381,1984-06-25,1992-09-17,gbailey@example.com,CPL,Leave,2217.12,0.0,0,Normal
EMP10103,645-24-3054,Eric,Patrick,Eric Patrick,51238 Andrea Isle,Mullenbury,AS,53591,2000-03-25,2008-06-15,vfoster@example.net,CSM,Active,4987.54,0.0,0,Normal
EMP10104,321-77-6368,Jeffrey,Smith,Jeffrey Smith,41918 Michael Flat,Wilsonfort,NC,84270,1982-11-14,1985-11-29,wmatthews@example.com,SPC,TDY,2238.36,0.0,0,Normal
EMP10105,434-24-7974,Robin,Mccarthy,Robin Mccarthy,912 Wilson Inlet Apt. 252,Barnesberg,OK,50794,2000-08-07,2006-09-26,angelaburns@example.org,2LT,TDY,3737.5,0.0,0,Normal
EMP10106,282-29-8809,Jerry,Brown,Jerry Brown,72368 Ortiz Overpass Suite 772,New Anthonybury,LA,04786,1982-03-05,1987-11-18,gary79@example.net,CW3,Active,4453.31,0.0,0,Normal
EMP10107,795-31-3439,Ashley,Wilson,Ashley Wilson,078 Veronica Cove Apt. 407,Michaelland,NV,15887,2003-02-24,2008-09-07,michelle96@example.org,PFC,TDY,2043.28,0.0,0,Normal
EMP10108,284-84-2079,Robin,Trujillo,Robin Trujillo,498 Mario Squares Suite 494,East Sydneychester,PW,08271,1978-12-01,1986-10-18,johndawson@example.org,PV2,Active,1959.25,0.0,0,Normal
EMP10109,507-35-5290,Kenneth,Adams MD,Kenneth Adams MD,16845 Clements Islands Apt. 175,Port Amandaborough,NE,28268,1996-03-01,1998-04-27,matthew92@example.net,CPL,Active,2209.1,153.66,0,Normal
EMP10110,310-21-4490,Stephanie,Farmer,Stephanie Farmer,70127 Smith Meadow,Lake Regina,FM,85697,2002-06-21,2012-04-15,penajohn@example.com,SFC,Leave,3736.36,0.0,0,Normal
EMP10111,713-44-1976,Mario,Barber,Mario Barber,1103 Miller Ramp,New Erin,AL,01557,1980-09-15,1988-01-27,ebenson@example.org,SGM,Leave,4979.3,0.0,0,Normal
EMP10112,631-88-7249,Nicholas,Garcia,Nicholas Garcia,4262 Casey Port Apt. 927,Jenniferberg,PW,54464,1985-01-08,1988-04-19,christophergarcia@example.org,SPC,Active,2114.82,0.0,0,Normal
EMP10113,622-66-3091,Jeffrey,Moody,Jeffrey Moody,1389 Maxwell Spurs,Port Melanieport,IL,68363,1995-07-30,1999-04-11,dphillips@example.org,CPL,Leave,2398.78,0.0,0,Normal
EMP10114,789-10-0274,David,Little,David Little,055 Paul Villages,Diazburgh,WV,62237,2003-02-13,2011-12-01,smithjason@example.org,MSG,TDY,3980.21,0.0,0,Normal
EMP10115,448-94-3910,Lori,Mason,Lori Mason,6188 Joshua Inlet Apt. 832,Peterland,ME,92077,1996-07-10,2003-05-01,sanchezsandy@example.org,1SG,Active,4024.09,0.0,0,Normal
EMP10116,751-16-0481,Amy,Wade,Amy Wade,02027 Mills Tunnel,Garyberg,WA,35728,2000-04-17,2004-08-15,lindsay48@example.org,CPL,TDY,2216.24,0.0,0,Normal
EMP10117,484-47-6275,Laura,Jones,Laura Jones,507 Michael Glens Apt. 913,North Micheletown,IA,06527,1987-05-03,1990-03-05,haroldhorne@example.org,PV1,Active,1890.1,0.0,0,Normal
EMP10118,071-60-4626,Michelle,Rios,Michelle Rios,3654 Ashley Crest,East Jeffreyhaven,AZ,53051,2007-01-24,2009-06-05,mark87@example.org,CPL,Active,2256.54,0.0,0,Normal
EMP10119,778-85-6165,Justin,Torres,Justin Torres,5973 Edward Lodge,East Ambertown,MA,00692,1994-07-19,2004-04-02,dalton83@example.com,CPL,Active,2317.96,0.0,0,Normal
EMP10120,243-38-4277,Valerie,Thomas,Valerie Thomas,03865 Villegas Corner Apt. 826,New Ashleychester,TN,17633,2002-12-04,2009-09-09,sara65@example.com,SPC,Active,2129.8,0.0,0,Normal
EMP10121,093-21-4985,Benjamin,Harris,Benjamin Harris,12775 Martinez Knolls,South Kyle,KS,16218,2000-04-02,2003-01-19,lewismelissa@example.org,PV2,Active,2019.01,0.0,0,Normal
EMP10122,474-14-2291,Tracy,Foster,Tracy Foster,442 Stephanie Walk,Hawkinsside,IA,12916,1975-08-26,1982-07-28,smithmaria@example.org,SFC,Active,3452.05,0.0,0,Normal
EMP10123,126-06-7553,James,Parks,James Parks,941 Wendy Flat,Lambland,MH,43957,1978-05-03,1985-12-11,jacksonaudrey@example.net,CW4,Leave,4856.31,153.43,0,Normal
EMP10124,287-50-2249,James,Simmons MD,James Simmons MD,4720 Deborah Parks,Andradefort,AR,11998,1996-04-27,2001-12-07,zgonzalez@example.net,PV1,TDY,1845.78,0.0,0,Normal
EMP10125,060-61-8675,Rebekah,Norton,Rebekah Norton,578 Cooper Port Suite 642,West Carlatown,MH,37323,1986-05-25,1994-12-23,katie32@example.org,PFC,Leave,2008.05,0.0,0,Normal
EMP10126,361-73-9235,Deborah,Velasquez,Deborah Velasquez,96522 Brittany Valley,Robintown,VT,92324,1986-04-23,1994-02-15,annalopez@example.com,MSG,Leave,4198.78,0.0,0,Normal
EMP10127,822-42-0976,John,Davis,John Davis,308 Smith Ridges,Port David,VT,23761,2006-05-02,2009-05-09,hernandezjanet@example.org,CSM,Active,4799.99,0.0,0,Normal
EMP10128,806-46-3658,Shannon,Yu,Shannon Yu,691 Turner Dale Apt. 675,Lake Tanya,UT,80941,1976-12-27,1982-09-07,nicholasgross@example.com,CW4,TDY,5263.81,0.0,0,Normal
EMP10129,328-22-1454,Aaron,Miles,Aaron Miles,029 Mccall Ridge Apt. 917,West Julie,IA,45958,1978-02-09,1980-07-08,sean43@example.org,PFC,Leave,2050.48,0.0,0,Normal
EMP10130,667-98-3696,Richard,Le,Richard Le,7626 Macias Keys,Garciafort,WY,76267,1974-01-21,1981-10-28,shannonlloyd@example.org,CPL,Active,2282.65,0.0,0,Normal
EMP10131,195-53-9079,Dean,Garcia,Dean Garcia,62181 Wheeler Ridges Suite 062,Mooreville,MA,27442,1989-07-05,1998-06-28,donna43@example.org,CW3,Active,4325.81,0.0,0,Normal
EMP10132,865-15-5053,Joshua,Henry,Joshua Henry,0614 Gonzalez Burg,East Danielle,CO,62572,1972-10-26,1978-01-17,qruiz@example.com,CW4,Active,4820.21,0.0,0,Normal
EMP10133,604-30-9071,Jasmine,Watson,Jasmine Watson,2704 Marshall Fork Suite 902,North Elizabethside,MT,99651,1975-08-24,1985-08-08,randallloretta@example.com,CPL,Active,2202.73,0.0,0,Normal
